timestamp,message,seq_num,resource,event
12.102481656,business,0,gate,pipe.in
12.102481656,business,0,gate,pipe.out
13.301500150,economy,0,gate,pipe.in
60.541255404,economy,1,gate,pipe.in
75.482840542,economy,2,gate,pipe.in
128.871362920,economy,3,gate,pipe.in
228.335648574,economy,4,gate,pipe.in
228.726846687,economy,5,gate,pipe.in
327.064798413,economy,6,gate,pipe.in
398.932194871,economy,7,gate,pipe.in
423.885900061,economy,8,gate,pipe.in
434.025076146,economy,9,gate,pipe.in
484.373882206,business,1,gate,pipe.in
623.116435052,economy,10,gate,pipe.in
626.036414593,economy,11,gate,pipe.in
629.087975142,economy,12,gate,pipe.in
633.523975080,first,0,gate,pipe.in
669.039900653,business,2,gate,pipe.in
685.504587391,economy,13,gate,pipe.in
724.754800305,economy,14,gate,pipe.in
747.805673026,economy,15,gate,pipe.in
856.292128596,economy,16,gate,pipe.in
870.562369082,economy,17,gate,pipe.in
894.653951447,economy,18,gate,pipe.in
947.707780984,economy,19,gate,pipe.in
976.618667138,economy,20,gate,pipe.in
1035.970065198,economy,21,gate,pipe.in
1061.806543439,economy,22,gate,pipe.in
1098.386430606,economy,23,gate,pipe.in
1099.793656814,economy,24,gate,pipe.in
1107.552825924,economy,25,gate,pipe.in
1117.801685640,economy,26,gate,pipe.in
1120.296351313,economy,27,gate,pipe.in
1128.246227605,economy,28,gate,pipe.in
1131.440442640,economy,29,gate,pipe.in
1141.211250040,economy,30,gate,pipe.in
1171.503296306,economy,31,gate,pipe.in
1185.119277203,economy,32,gate,pipe.in
1198.988959711,economy,33,gate,pipe.in
1206.041915204,economy,34,gate,pipe.in
1209.147708416,economy,35,gate,pipe.in
1236.739236349,economy,36,gate,pipe.in
1247.181482696,economy,37,gate,pipe.in
1256.575310976,economy,38,gate,pipe.in
1258.452334830,economy,39,gate,pipe.in
1271.513379397,economy,40,gate,pipe.in
1273.297501405,economy,41,gate,pipe.in
1278.069080072,economy,42,gate,pipe.in
1323.655143756,economy,43,gate,pipe.in
1333.871649561,economy,44,gate,pipe.in
1342.012370263,economy,45,gate,pipe.in
1353.551958156,economy,46,gate,pipe.in
